"","Year","Precipitation","PET","alpha","RDIn","RDIst"
"26",1985,266.9613,1848.48355940393,0.144421787600905,0.560210699274896,-19.1553766572898
"27",1986,261.5392,1854.21832774078,0.141050919455998,0.547135134763535,-19.3616845349949
"28",1987,138.1678,1941.83794583038,0.0711531053848657,0.276002198736018,-25.3392830124617
"29",1988,333.7826,1873.10602649018,0.178197387269871,0.691225919507926,-17.3195756170425
"30",1989,264.0208,1857.32766374639,0.142150900540321,0.55140195061365,-19.2938251662959
"31",1990,526.3843,1756.89041978627,0.2996113440382,1.16218946837963,-12.7806527275082
"32",1991,280.5759,1821.40167931167,0.154043944939171,0.597534953326499,-18.5919375863832
"33",1992,414.3232,1816.99128540012,0.228027070536423,0.884514772742052,-15.1656381259698
"34",1993,334.3151,1845.78787487855,0.181123250699649,0.702575315088792,-17.1773100033328
"35",1994,694.4862,1803.28237033224,0.385123379136705,1.4938898148075,-10.5873605742183
"36",1995,628.6353,1798.04689980987,0.349621191786751,1.35617717787445,-11.4322026010452
"37",1996,889.5932,1801.60361001513,0.493778539882327,1.91536211889876,-8.41638123629608
"38",1997,842.0051,1700.77539081252,0.495071309561779,1.92037675982072,-8.39354053114912
"39",1998,584.172,1800.26976614599,0.324491368452293,1.25869883934457,-12.0837961383799
"40",1999,22.2815,1870.37441042253,0.0119128554560188,0.0462098496095282,-40.9515319938642
"41",2000,409.6714,1830.68715054928,0.223780125335496,0.868040913912886,-15.3298689830989
"42",2001,511.0898,1810.66644770647,0.28226612397186,1.09490752966486,-13.301601972318
"43",2002,211.1534,1894.07514716355,0.111481004497742,0.432433724322328,-21.4168604353863
"44",2003,445.1008,1793.40016771216,0.248188222580471,0.962719684012052,-14.4255385889173
"45",2004,502.3506,1882.15116701861,0.266902366187589,1.03531166373083,-13.7905060259539
"46",2005,528.9538,1860.42916618467,0.284318161429799,1.10286736286141,-13.2383256670857
"47",2006,544.3344,1850.31492578498,0.294184731698616,1.14113969227623,-12.9403222476435
"48",2007,424.0128,1806.24176063497,0.234748641760415,0.910587681671998,-14.9118628880774
"49",2008,546.6555,1778.57478945595,0.307355925227759,1.19223062294409,-12.5577195589061
"50",2009,262.6041,1857.86634269543,0.141347143206765,0.548284183790801,-19.3433581512123
"51",2010,691.8405,1818.23645131424,0.380500841625923,1.4759590370879,-10.6928450408686
"52",2011,643.2493,1759.14021018923,0.365661188502312,1.41839616799817,-11.040354257268
"53",2012,745.6138,1784.15684436123,0.417908213819031,1.62106186736339,-9.87368589661694
"54",2013,634.7434,1751.9653006224,0.362303636821176,1.40537225791932,-11.1209354785022
"55",2014,659.6748,1803.12876878191,0.365850077610175,1.41912886699712,-11.0358429297241
"56",2015,461.7574,1798.0123660457,0.25681547508793,0.996184711971549,-14.1270424896827
"57",2016,696.1209,1838.8851205162,0.378555947967314,1.46841481363932,-10.7376102889464
"58",2017,616.2636,1819.59808679996,0.338681165071894,1.31374092142156,-11.7099142872686
"59",2018,393.6322,1855.18659922817,0.212179303237618,0.823041438642748,-15.794880472619
"60",2019,823.2664,1735.67645736185,0.474320197470055,1.83988339930534,-8.76758821416759
"61",2020,453.6338,1786.06872430945,0.253984515727629,0.985203448346455,-14.2238715361181
"62",2021,614.155,1787.88931367484,0.343508401388486,1.33246572380357,-11.5862856192707
"63",2022,662.2045,1811.39648781727,0.365576782583893,1.41806875826751,-11.0423709169739
"64",2023,701.0101,1726.3898415412,0.406055505617542,1.57508532836495,-10.125023758435
